Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
776379704292c56134ed98a0e2cb3d93c9e06ffd20eb1e129f4115d204bc1b17,2020-12,West Yorkshire Police,West Yorkshire Police,-1.712074,53.768699,On or near TENNIS AVENUE,E01010814,Bradford 057A,Unable to prosecute suspect
9860acd549ebd7a72251e0b23e42b2b461a070c6adc0e670d3d2e860e2d6ca85,2020-12,West Yorkshire Police,West Yorkshire Police,-1.486854,53.689139,On or near WINDHILL VIEW,E01011910,Wakefield 020B,Investigation complete
f27275a9681261dc9693b48f5cce1eeafe9ff82433c0b4e186dc65bc90411dc2,2020-12,West Yorkshire Police,West Yorkshire Police,-1.542725,53.658877,On or near EAST AVENUE,E01011801,Wakefield 031C,Unable to prosecute suspect
a2fb9920faec8892d5c3cd18675dc9b776867b957edfe9cbdd3d9fcd9259e1f8,2020-12,West Yorkshire Police,West Yorkshire Police,-1.614030,53.787694,On or near BUTTERBOWL DRIVE,E01011735,Leeds 078D,Unable to prosecute suspect
41ed5d44bd094b728239bec81846dadf95651b76f4989d21189979ee558135a4,2020-12,West Yorkshire Police,West Yorkshire Police,-1.507650,53.808085,On or near Supermarket,E01011344,Leeds 065A,Unable to prosecute suspect
0106bdb38f25bdae4ba23554358ad4911aa7b3d38793e99c0e967461d6a63fe7,2020-12,West Yorkshire Police,West Yorkshire Police,-1.910522,53.864778,On or near WATER LANE,E01010710,Bradford 008G,Investigation complete
db4454316d8542a61270343df7b94c13ed4b07adfe704f3fbf59360bbab9f65c,2020-12,West Yorkshire Police,West Yorkshire Police,-1.708168,53.802458,On or near Supermarket,E01010627,Bradford 038E,Unable to prosecute suspect
0e604ed50741e320b483d8a1e065e52dc8d609e35d98fa074117236dacdf8fbf,2020-12,West Yorkshire Police,West Yorkshire Police,-1.526915,53.677574,On or near BEMBRIDGE COURT,E01011900,Wakefield 026B,Investigation complete
9e9ce0bc8400d3634b6b1ec6a540575d27716f334e1f4b42f85b78feb9893a5e,2020-12,West Yorkshire Police,West Yorkshire Police,-1.498673,53.687230,On or near SAVILLE STREET,E01011912,Wakefield 017B,Investigation complete
7b90057129f0bfa9b3b79eb0c2c49526994e77074020c8168c1b9dd0cc8f4c66,2020-12,West Yorkshire Police,West Yorkshire Police,-1.827039,53.846756,On or near BROADWAY,E01010584,Bradford 015D,Unable to prosecute suspect
